id,title,original_language,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,overview,tagline,status,homepage,release_year,release_month,decade,profit
1452,Superman Returns,en,2006-06-28,270000000,391081192,154.0,5.4,1400,57.925623,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",,Released,http://www.superman.com,2006,6,2000,121081192
10764,Quantum of Solace,en,2008-10-30,200000000,586090727,106.0,6.1,2965,107.928811,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","For love, for hate, for justice, for revenge.",Released,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,2008,10,2000,386090727
58,Pirates of the Caribbean: Dead Man's Chest,en,2006-06-20,200000000,1065659812,151.0,7.0,5246,145.847379,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,Released,http://disney.go.com/disneypictures/pirates/,2006,6,2000,865659812
57201,The Lone Ranger,en,2013-07-03,255000000,89289910,149.0,5.9,2311,49.046956,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Never Take Off the Mask,Released,http://disney.go.com/the-lone-ranger/,2013,7,2010,-165710090
49521,Man of Steel,en,2013-06-12,225000000,662845518,143.0,6.5,6359,99.398009,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You will believe that a man can fly.,Released,http://www.manofsteel.com/,2013,6,2010,437845518
2454,The Chronicles of Narnia: Prince Caspian,en,2008-05-15,225000000,419651413,150.0,6.3,1630,53.978602,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Hope has a new face.,Released,,2008,5,2000,194651413
24428,The Avengers,en,2012-04-25,220000000,1519557910,143.0,7.4,11776,144.448633,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,Released,http://marvel.com/avengers_movie/,2012,4,2010,1299557910
1865,Pirates of the Caribbean: On Stranger Tides,en,2011-05-14,380000000,1045713802,136.0,6.4,4948,135.413856,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Live Forever Or Die Trying.,Released,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,2011,5,2010,665713802
41154,Men in Black 3,en,2012-05-23,225000000,624026776,106.0,6.2,4160,52.035179,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",They are back... in time.,Released,http://www.sonypictures.com/movies/meninblack3/,2012,5,2010,399026776
122917,The Hobbit: The Battle of the Five Armies,en,2014-12-10,250000000,956019788,144.0,7.1,4760,120.965743,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Witness the defining chapter of the Middle-Earth saga,Released,http://www.thehobbit.com/,2014,12,2010,706019788
1930,The Amazing Spider-Man,en,2012-06-27,215000000,752215857,136.0,6.5,6586,89.866276,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",The untold story begins.,Released,http://www.theamazingspiderman.com,2012,6,2010,537215857
20662,Robin Hood,en,2010-05-12,200000000,310669540,140.0,6.2,1398,37.668301,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Rise and rise again, until lambs become lions.",Released,http://www.robinhoodthemovie.com/,2010,5,2010,110669540
57158,The Hobbit: The Desolation of Smaug,en,2013-12-11,250000000,958400000,161.0,7.6,4524,94.370564,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,Released,http://www.thehobbit.com/,2013,12,2010,708400000
2268,The Golden Compass,en,2007-12-04,180000000,372234864,113.0,5.8,1303,42.990906,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",There are worlds beyond our own - the compass will show the way.,Released,http://www.goldencompassmovie.com/index_german.html,2007,12,2000,192234864
254,King Kong,en,2005-12-14,207000000,550000000,187.0,6.6,2337,61.22601,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,Released,,2005,12,2000,343000000
597,Titanic,en,1997-11-18,200000000,1845034188,194.0,7.5,7562,100.025899,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,Released,http://www.titanicmovie.com,1997,11,1990,1645034188
271110,Captain America: Civil War,en,2016-04-27,250000000,1153304495,147.0,7.1,7241,198.372395,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,Released,http://marvel.com/captainamericapremiere,2016,4,2010,903304495
44833,Battleship,en,2012-04-11,209000000,303025485,131.0,5.5,2114,64.928382,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",The Battle for Earth Begins at Sea,Released,,2012,4,2010,94025485
135397,Jurassic World,en,2015-06-09,150000000,1513528810,124.0,6.5,8662,418.708552,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,Released,http://www.jurassicworld.com/,2015,6,2010,1363528810
37724,Skyfall,en,2012-10-25,200000000,1108561013,143.0,6.9,7604,93.004993,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,Released,http://www.skyfall-movie.com,2012,10,2010,908561013
558,Spider-Man 2,en,2004-06-25,200000000,783766341,127.0,6.7,4321,35.149586,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",There's a hero in all of us.,Released,http://www.sonypictures.com/movies/spider-man2/,2004,6,2000,583766341
68721,Iron Man 3,en,2013-04-18,200000000,1215439994,130.0,6.8,8806,77.68208,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,Released,http://marvel.com/ironman3,2013,4,2010,1015439994
12155,Alice in Wonderland,en,2010-03-03,200000000,1025491110,108.0,6.4,4645,78.530105,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",You're invited to a very important date.,Released,http://disney.go.com/wonderland/,2010,3,2010,825491110
36668,X-Men: The Last Stand,en,2006-05-24,210000000,459359555,104.0,6.3,3525,3.857526,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Take a Stand,Released,,2006,5,2000,249359555
62211,Monsters University,en,2013-06-20,200000000,743559607,104.0,7.0,3528,89.186492,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,School never looked this scary.,Released,,2013,6,2010,543559607
8373,Transformers: Revenge of the Fallen,en,2009-06-19,150000000,836297228,150.0,6.0,3138,21.939663,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Revenge is coming.,Released,http://www.transformersmovie.com/,2009,6,2000,686297228
91314,Transformers: Age of Extinction,en,2014-06-25,210000000,1091405097,165.0,5.8,3095,116.840296,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.,Released,http://www.transformersmovie.com,2014,6,2010,881405097
68728,Oz: The Great and Powerful,en,2013-03-07,200000000,491868548,130.0,5.7,3530,46.985445,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","In Oz, nothing is what it seems",Released,http://www.ozthegreatandpowerfulmovie.com,2013,3,2010,291868548
102382,The Amazing Spider-Man 2,en,2014-04-16,200000000,705717432,142.0,6.5,4179,89.270217,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",No more secrets.,Released,http://www.theamazingspiderman.com,2014,4,2010,505717432
20526,TRON: Legacy,en,2010-12-10,170000000,400062763,125.0,6.3,2841,73.79505,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",The Game Has Changed.,Released,http://disney.go.com/tron/,2010,12,2010,230062763
49013,Cars 2,en,2011-06-11,200000000,559852396,106.0,5.8,2033,49.98659,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Ka-ciao!,Released,http://www.disney.go.com/cars/,2011,6,2010,359852396
44912,Green Lantern,en,2011-06-16,200000000,219851172,114.0,5.1,2487,51.872839,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","In our darkest hour, there will be light.",Released,http://greenlanternmovie.warnerbros.com/,2011,6,2010,19851172
10193,Toy Story 3,en,2010-06-16,200000000,1066969703,103.0,7.6,4597,59.995418,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",No toy gets left behind.,Released,http://disney.go.com/toystory/,2010,6,2010,866969703
534,Terminator Salvation,en,2009-05-20,200000000,371353001,115.0,5.9,2463,71.862892,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",The End Begins.,Released,https://www.warnerbros.com/terminator-salvation,2009,5,2000,171353001
168259,Furious 7,en,2015-04-01,190000000,1506249360,137.0,7.3,4176,102.322217,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Vengeance Hits Home,Released,http://www.furious7.com/,2015,4,2010,1316249360
72190,World War Z,en,2013-06-20,200000000,531865000,116.0,6.7,5560,81.834855,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Remember Philly!,Released,http://www.worldwarzmovie.com,2013,6,2010,331865000
127585,X-Men: Days of Future Past,en,2014-05-15,250000000,747862775,131.0,7.5,6032,118.078691,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"To save the future, they must alter the past",Released,http://www.x-menmovies.com/,2014,5,2010,497862775
54138,Star Trek Into Darkness,en,2013-05-05,190000000,467365246,132.0,7.4,4418,78.291018,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",Earth Will Fall,Released,,2013,5,2010,277365246
81005,Jack the Giant Slayer,en,2013-02-27,195000000,197687603,114.0,5.5,2598,43.349855,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",Prepare for a giant adventure,Released,http://jackthegiantkiller.warnerbros.com,2013,2,2010,2687603
64682,The Great Gatsby,en,2013-05-10,105000000,351040419,143.0,7.3,3769,61.196071,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,Released,,2013,5,2010,246040419
9543,Prince of Persia: The Sands of Time,en,2010-05-19,150000000,335154643,116.0,6.2,2317,62.169881,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",Defy the Future,Released,http://disney.go.com/disneypictures/princeofpersia,2010,5,2010,185154643
68726,Pacific Rim,en,2013-07-11,180000000,407602906,131.0,6.7,4794,56.523205,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","To Fight Monsters, We Created Monsters",Released,http://www.pacificrimmovie.com/,2013,7,2010,227602906
38356,Transformers: Dark of the Moon,en,2011-06-28,195000000,1123746996,154.0,6.1,3299,28.529607,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",The invasion we always feared. An enemy we never expected.,Released,http://www.transformersmovie.com/,2011,6,2010,928746996
217,Indiana Jones and the Kingdom of the Crystal Skull,en,2008-05-21,185000000,786636033,122.0,5.7,2495,75.674458,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",The adventure continues . . .,Released,http://www.indianajones.com/site/index.html,2008,5,2000,601636033
105864,The Good Dinosaur,en,2015-11-14,175000000,331926147,93.0,6.6,1736,51.692953,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Little Arms With Big Attitude,Released,http://movies.disney.com/the-good-dinosaur,2015,11,2010,156926147
62177,Brave,en,2012-06-21,185000000,538983207,93.0,6.7,4641,125.114374,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",Change your fate.,Released,http://disney.go.com/brave/#/home,2012,6,2010,353983207
188927,Star Trek Beyond,en,2016-07-07,185000000,343471816,122.0,6.6,2568,65.352913,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",,Released,http://www.startrekmovie.com/,2016,7,2010,158471816
10681,WALL·E,en,2008-06-22,180000000,521311860,98.0,7.8,6296,66.390712,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",An adventure beyond the ordinar-E.,Released,http://disney.go.com/disneypictures/wall-e/,2008,6,2000,341311860
5174,Rush Hour 3,en,2007-08-08,140000000,258022233,91.0,6.1,783,22.57178,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",The Rush Is On!,Released,,2007,8,2000,118022233
14161,2012,en,2009-10-10,200000000,769653595,158.0,5.6,4903,45.274225,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",We Were Warned.,Released,http://www.sonypictures.com/movies/2012,2009,10,2000,569653595
17979,A Christmas Carol,en,2009-11-04,200000000,325233863,96.0,6.6,1095,39.744242,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",Season's Greedings,Released,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,2009,11,2000,125233863
76757,Jupiter Ascending,en,2015-02-04,176000003,183987723,124.0,5.2,2768,85.36908,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",Expand your universe.,Released,http://www.jupiterascending.com,2015,2,2010,7987720
258489,The Legend of Tarzan,en,2016-06-29,180000000,356743061,109.0,5.5,2430,42.741719,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Human. Nature.,Released,http://legendoftarzan.com,2016,6,2010,176743061
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,2005-12-07,180000000,748806957,143.0,6.7,2629,67.391328,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Evil Has Reigned For 100 Years...,Released,,2005,12,2000,568806957
246655,X-Men: Apocalypse,en,2016-05-18,178000000,543934787,144.0,6.4,4721,139.272042,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Only the strong will survive,Released,http://www.foxmovies.com/movies/x-men-apocalypse,2016,5,2010,365934787
155,The Dark Knight,en,2008-07-16,185000000,1004558444,152.0,8.2,12002,187.322927,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,Released,http://thedarkknight.warnerbros.com/dvdsite/,2008,7,2000,819558444
